일시,평균기온,최고기온,최저기온,일교차,강수량,MA7,MA30,월,연도,캠핑적합
2023-01-01,-0.8,6.0,-6.0,12.0,0.0,,,1,2023,False
2023-01-02,-3.3,1.9,-6.6,8.5,0.0,,,1,2023,False
2023-01-03,-3.7,2.6,-9.3,11.9,0.0,,,1,2023,False
2023-01-04,-1.8,5.1,-7.4,12.5,0.0,,,1,2023,False
2023-01-05,-1.5,4.0,-6.2,10.2,0.0,,,1,2023,False
2023-01-06,0.8,6.3,-4.4,10.7,0.7,,,1,2023,False
2023-01-07,2.9,6.3,-1.7,8.0,0.0,-1.0571428571428572,,1,2023,False
2023-01-08,0.6,7.0,-4.7,11.7,0.0,-0.8571428571428571,,1,2023,False
2023-01-09,1.7,8.7,-2.2,10.9,0.0,-0.14285714285714293,,1,2023,False
2023-01-10,0.7,8.7,-5.3,14.0,0.0,0.48571428571428565,,1,2023,False
2023-01-11,1.8,9.9,-4.3,14.2,0.0,1.0,,1,2023,False
2023-01-12,4.9,13.2,-3.0,16.2,0.1,1.9142857142857144,,1,2023,False
2023-01-13,8.7,13.0,4.7,8.3,17.5,3.042857142857143,,1,2023,False
2023-01-14,7.2,8.8,5.5,3.3,4.8,3.657142857142857,,1,2023,False
2023-01-15,0.3,5.6,-3.0,8.6,1.0,3.6142857142857143,,1,2023,False
2023-01-16,-3.3,0.4,-6.1,6.5,0.0,2.9,,1,2023,False
2023-01-17,-2.5,2.1,-7.0,9.1,0.0,2.4428571428571426,,1,2023,False
2023-01-18,-0.9,3.9,-3.8,7.7,0.0,2.0571428571428574,,1,2023,False
2023-01-19,0.5,5.0,-5.3,10.3,0.0,1.4285714285714286,,1,2023,False
2023-01-20,-2.0,3.7,-7.4,11.1,0.5,-0.09999999999999996,,1,2023,False
2023-01-21,-3.7,1.9,-9.0,10.9,0.0,-1.6571428571428573,,1,2023,False
2023-01-22,-0.4,3.8,-4.1,7.9,0.0,-1.757142857142857,,1,2023,False
2023-01-23,0.3,7.2,-3.4,10.6,0.0,-1.242857142857143,,1,2023,False
2023-01-24,-11.4,-3.4,-14.4,11.0,0.2,-2.5142857142857147,,1,2023,False
2023-01-25,-11.5,-5.2,-17.5,12.3,0.0,-4.028571428571429,,1,2023,False
2023-01-26,-6.9,-4.6,-11.7,7.1,1.5,-5.085714285714286,,1,2023,False
2023-01-27,-6.8,-3.4,-11.3,7.9,0.0,-5.771428571428571,,1,2023,False
2023-01-28,-5.9,-0.6,-12.2,11.6,0.0,-6.085714285714286,,1,2023,False
2023-01-29,-1.7,4.5,-9.9,14.4,0.0,-6.271428571428571,,1,2023,False
2023-01-30,-0.9,4.4,-6.2,10.6,0.0,-6.442857142857142,-1.2866666666666666,1,2023,False
2023-01-31,1.8,9.3,-6.8,16.1,0.0,-4.557142857142857,-1.2,1,2023,False
2023-02-01,0.8333333333333333,7.566666666666667,-5.833333333333333,13.4,0.0,-2.795238095238095,-1.0622222222222222,2,2023,False
2023-02-02,-0.13333333333333353,5.833333333333334,-4.866666666666666,10.7,0.0,-1.8285714285714287,-0.9433333333333334,2,2023,False
2023-02-03,-1.1,4.1,-3.9,8.0,0.0,-1.0142857142857145,-0.92,2,2023,False
2023-02-04,-1.1,6.0,-7.5,13.5,0.0,-0.3285714285714286,-0.9066666666666666,2,2023,False
2023-02-05,0.0,7.5,-6.4,13.9,0.0,-0.08571428571428576,-0.9333333333333333,2,2023,False
2023-02-06,1.8,8.9,-4.8,13.7,0.0,0.29999999999999993,-0.9700000000000001,2,2023,False
2023-02-07,2.5,10.3,-2.5,12.8,0.0,0.39999999999999997,-0.9066666666666666,2,2023,False
2023-02-08,1.5,9.1,-4.3,13.4,0.0,0.49523809523809526,-0.9133333333333333,2,2023,False
2023-02-09,3.1,10.5,-4.7,15.2,0.9,0.9571428571428572,-0.8333333333333335,2,2023,False
2023-02-10,3.2,6.9,-0.3,7.2,2.9,1.5714285714285714,-0.7866666666666666,2,2023,False
2023-02-11,0.2,4.3,-3.0,7.3,0.0,1.757142857142857,-0.9433333333333334,2,2023,False
2023-02-12,1.1,4.5,-2.9,7.4,0.0,1.9142857142857144,-1.1966666666666665,2,2023,False
2023-02-13,5.8,9.8,2.7,7.1,0.0,2.4857142857142853,-1.2433333333333334,2,2023,False
2023-02-14,1.2,7.1,-2.2,9.3,0.0,2.3000000000000003,-1.2133333333333334,2,2023,False
